,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
TMEM143,68,1,24,158,204,311,42,52,71,46,55,61
SYNGR4,0,0,0,0,1,0,0,0,0,0,0,1
KDELR1,989,234,326,238,534,356,78,512,791,742,570,676
GRIN2D,414,598,710,221,700,652,274,456,266,150,136,290
GRWD1,347,245,251,7,155,204,145,86,357,130,34,156
KCNJ14,19,18,2,21,2,16,17,34,62,67,117,11
CYTH2,1158,974,174,848,529,1232,74,837,1559,1723,524,566
LMTK3,40,1644,1184,961,540,897,136,1232,155,230,646,295
SULT2B1,0,4,1,0,0,1,2,1,1,3,2,0
FAM83E,3,1,1,3,2,4,7,7,1,0,0,9
SPACA4,0,0,0,0,0,0,0,0,0,0,0,0
RPL18,1530,3375,383,586,1790,169,1652,1468,2267,1548,1256,2082
SPHK2,95,118,41,103,156,20,57,69,149,146,268,176
DBP,4,15,8,30,20,10,6,61,134,92,48,61
CA11,83,81,1,194,165,78,76,184,102,225,102,209
SEC1P,2,1,0,2,1,0,0,3,4,2,1,0
NTN5,5,19,9,3,11,7,14,11,2,6,21,24
FUT2,1,0,0,0,0,2,0,1,2,0,0,3
LOC105447645,18,26,6,14,14,22,18,19,53,39,7,22
MAMSTR,93,49,52,18,19,7,4,39,147,107,115,76
RASIP1,0,1,1,11,6,1,17,20,2,9,1,10
IZUMO1,0,1,1,0,0,1,4,2,0,1,1,0
FUT1,23,37,1,8,3,4,9,5,7,28,31,1
FGF21,0,0,0,0,0,0,0,0,1,0,0,0
BCAT2,326,92,57,222,70,248,145,286,264,91,272,457
HSD17B14,40,102,40,12,110,96,55,8,176,78,149,202
PLEKHA4,38,37,16,180,106,155,5,4,3,3,3,17
PPP1R15A,5,75,1252,475,621,1013,199,372,1271,1646,495,1389
TULP2,1,1,1,0,1,0,0,1,4,8,0,0
NUCB1,1765,2245,160,456,1208,1100,343,1506,449,1636,760,409
NUCB1-AS1,0,0,3,1,1,6,5,2,2,0,0,1
DHDH,3,12,1,1,5,2,2,3,18,4,1,0
BAX,161,116,24,58,49,76,46,2,62,94,74,69
FTL,4354,3541,3923,1482,3628,3227,2721,653,4826,144,962,2007
GYS1,231,122,493,46,200,269,421,511,264,291,645,139
RUVBL2,524,507,606,507,270,872,304,1121,1646,1431,1218,1855
MIR6798,0,0,0,0,0,0,0,0,0,0,0,0
LHB,0,0,0,0,0,0,0,0,0,0,0,0
LOC101059948,1,1,0,0,0,0,0,1,0,0,0,0
CGB,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-G2,0,0,0,0,0,0,0,0,0,0,0,0
CGB2,0,0,0,0,0,0,0,0,0,0,0,0
CGB1,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-G1,1,0,0,0,0,0,0,0,0,0,0,0
CGB5,0,0,0,0,0,0,0,0,0,0,0,0
CGB8,0,0,0,0,0,0,0,0,0,0,0,0
CGB7,0,3,1,0,1,0,0,0,0,0,2,0
NTF4,1,0,1,1,2,1,0,0,2,0,0,1
KCNA7,0,1,0,2,0,1,0,0,1,0,0,0
SNRNP70,1673,882,1787,154,1824,487,2074,1820,2071,850,1421,1988
LIN7B,69,126,213,145,45,216,137,271,71,260,14,219
C19orf73,13,24,18,3,7,4,12,36,19,5,1,33
PPFIA3,2253,2067,905,87,48,436,1288,2049,3263,2801,2336,2509
HRC,38,51,75,33,21,17,2,1,17,4,2,13
TRPM4,212,177,77,117,103,125,30,12,189,13,199,298
SLC6A16,92,0,61,6,85,119,100,175,11,60,74,78
MIR4324,1,0,2,2,2,2,0,5,4,0,4,2
CD37,1,0,0,3,0,3,1,1,0,2,0,1
TEAD2,122,193,92,76,278,9,120,384,149,30,27,203
DKKL1,13,5,6,5,10,17,11,2,12,8,4,13
LOC101928295,0,0,0,0,0,0,0,0,0,0,0,0
CCDC155,0,0,0,0,0,0,0,0,0,0,0,1
PTH2,0,0,0,0,0,0,0,0,0,0,0,0
GFY,5,3,1,0,3,5,0,5,8,11,6,8
SLC17A7,8,29,2,8,5,10,15,11,21,46,17,44
PIH1D1,204,2,205,109,192,82,83,80,47,303,281,95
ALDH16A1,11,36,17,19,36,34,54,42,55,52,16,36
FLT3LG,8,10,2,11,4,6,3,5,11,3,14,13
RPL13A,4878,8285,8790,474,7738,2704,5605,6341,4072,4406,5327,4374
SNORD32A,1,0,9,2,2,2,9,5,29,25,9,4
SNORD33,6,1,3,1,2,6,4,3,24,8,22,4
SNORD34,1,0,1,1,0,0,1,1,0,0,1,1
SNORD35A,1,0,3,1,1,0,0,0,2,12,4,11
RPS11,205,1052,2797,1488,763,1810,1468,173,3624,2388,2673,548
SNORD35B,2,2,1,1,1,3,6,2,10,3,13,3
MIR150,0,0,0,0,0,0,0,0,0,0,0,0
FCGRT,62,76,46,58,73,30,97,96,31,133,98,67
RCN3,148,5,90,7,56,36,11,24,31,24,2,126
NOSIP,145,111,17,69,147,201,28,63,119,237,35,114
PRRG2,1,4,9,1,2,8,2,1,6,2,17,11
PRR12,901,708,1187,312,22,654,32,195,1022,1802,1713,734
RRAS,58,41,41,26,6,25,17,7,57,35,0,19
SCAF1,728,2083,1690,961,1485,661,1109,1571,2409,2417,1305,1818
IRF3,100,164,93,14,20,15,46,87,18,19,74,4
BCL2L12,1,6,28,10,1,33,10,15,6,26,9,26
PRMT1,53,1127,893,1192,1332,56,352,1196,300,1556,787,597
MIR5088,0,0,0,0,0,0,0,0,0,0,0,0
ADM5,14,20,2,1,12,22,42,5,5,27,11,17
CPT1C,731,384,536,307,439,231,740,836,408,1015,554,104
TSKS,0,0,0,0,0,0,0,2,0,1,0,0
AP2A1,293,67,1461,847,409,536,749,185,627,619,1411,1146
MIR6799,0,0,0,0,0,0,0,0,0,0,0,1
FUZ,36,61,35,13,61,151,100,40,85,51,106,0
MED25,193,696,94,229,152,17,92,332,40,92,296,103
MIR6800,0,0,0,0,0,0,0,0,0,1,0,0
PTOV1-AS1,2,19,6,9,20,1,1,25,11,9,5,13
PTOV1,2165,1636,1150,196,236,1174,293,2403,1559,1013,1829,152
MIR4749,0,0,0,0,0,0,0,0,0,0,0,0
PTOV1-AS2,125,83,19,99,107,191,130,248,24,254,6,202
PNKP,342,81,74,170,45,45,284,334,312,343,482,76
AKT1S1,141,90,227,280,235,306,151,92,111,190,170,531
TBC1D17,177,41,134,125,171,215,320,241,305,585,197,87
MIR4750,0,0,0,0,0,0,0,0,0,0,0,0
IL4I1,0,6,6,3,0,2,2,7,3,4,1,4
NUP62,500,465,286,297,213,588,707,347,796,840,448,264
ATF5,8,65,94,244,157,317,135,65,128,398,227,271
MIR4751,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC11,0,0,0,1,1,0,0,0,0,0,0,1
SIGLEC16,0,0,1,0,0,0,0,1,0,0,0,0
VRK3,151,140,24,99,171,95,74,194,278,313,90,84
ZNF473,146,111,140,85,248,131,91,253,242,174,29,4
FLJ26850,3,1,1,0,21,13,2,9,15,26,10,11
SNAR-B1,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-B2,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-D,0,0,0,0,0,0,0,0,0,0,0,0
IZUMO2,0,0,0,0,0,0,0,0,0,0,0,0
MYH14,62,43,31,47,95,248,83,2,23,87,155,1
KCNC3,180,6,34,271,15,370,62,7,286,515,74,115
NAPSB,0,0,0,0,0,0,0,0,1,0,0,1
NAPSA,2,0,3,6,3,10,4,6,2,10,10,2
NR1H2,628,488,216,31,372,384,400,223,204,247,290,437
POLD1,389,204,307,153,119,357,45,43,361,361,155,507
SPIB,0,0,1,0,0,0,0,1,1,0,2,1
MYBPC2,1,0,0,8,8,3,0,4,6,2,4,5
FAM71E1,45,12,20,24,34,6,17,44,19,3,8,33
EMC10,392,497,484,604,1002,364,458,313,100,161,830,66
JOSD2,1,13,4,13,4,11,11,14,12,29,3,12
ASPDH,0,4,1,1,9,1,16,9,7,28,12,15
LRRC4B,1477,922,430,1036,939,1263,17,919,837,358,1151,663
SNAR-F,0,0,0,0,1,0,0,0,0,0,0,0
SYT3,51,41,4,334,26,213,150,167,189,129,187,309
C19orf81,9,3,5,4,2,3,3,1,1,2,6,8
SHANK1,561,1620,28,670,351,436,415,1427,662,2342,1641,1125
CLEC11A,1,6,39,11,14,22,18,40,7,23,33,60
GPR32,0,0,0,0,0,0,0,0,0,0,0,0
ACPT,2,0,0,0,1,0,1,2,5,0,1,1
C19orf48,94,4,100,138,133,139,120,222,212,177,12,29
SNORD88B,0,0,0,0,1,0,0,0,0,0,0,4
SNORD88A,0,0,0,0,0,0,0,0,0,0,0,0
SNORD88C,0,0,0,0,0,0,0,0,0,2,0,0
MGC45922,0,0,0,0,0,0,1,0,2,0,0,0
KLK1,0,0,0,1,0,0,0,0,0,0,0,0
KLK15,0,1,0,4,0,0,0,0,0,0,0,0
LOC105372441,0,0,0,0,0,0,0,0,4,0,0,0
KLK3,0,0,0,0,0,0,0,1,1,0,0,0
KLK2,0,0,0,0,0,0,0,0,0,0,0,0
KLKP1,0,0,1,1,2,0,0,2,8,7,7,1
KLK4,6,0,0,1,3,0,0,2,1,3,3,1
KLK5,0,0,0,1,0,0,0,0,1,0,0,0
KLK6,0,0,0,0,0,0,1,0,0,1,0,0
KLK7,0,0,0,0,0,0,0,0,0,0,0,0
KLK8,0,0,0,0,0,0,0,0,0,0,0,0
KLK9,0,0,0,0,0,0,0,0,0,0,0,0
KLK10,8,7,6,8,10,17,6,9,4,14,0,4
KLK11,0,0,0,0,0,0,0,0,0,0,0,0
KLK12,0,0,0,0,0,0,0,0,0,0,0,0
KLK13,1,0,0,0,0,0,0,0,1,0,0,0
KLK14,7,4,10,8,4,5,2,0,11,12,26,29
CTU1,19,43,16,25,19,54,35,29,95,8,9,58
SIGLEC9,0,0,0,0,0,0,0,0,1,0,0,0
SIGLEC7,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928517,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC17P,0,0,0,0,0,0,0,0,0,0,0,0
MIR8074,0,0,0,0,0,0,0,0,0,0,0,0
CD33,0,0,0,0,0,0,0,0,0,0,0,0
SIGLECL1,0,0,0,0,0,0,0,0,0,0,0,0
IGLON5,343,2394,1342,326,31,616,426,182,1124,1541,28,1904
VSIG10L,32,7,22,49,109,64,127,34,109,157,43,3
ETFB,258,221,974,603,531,415,715,624,207,283,414,696
CLDND2,1,6,1,2,6,3,0,0,2,2,10,10
NKG7,0,0,0,0,0,0,0,1,0,0,0,0
LIM2,0,0,0,0,0,0,0,0,0,0,0,0
C19orf84,0,0,4,0,1,0,0,0,0,0,0,0
SIGLEC10,0,0,0,0,0,0,0,0,1,0,2,0
LOC100129083,2,2,3,2,7,1,7,5,1,2,2,6
SIGLEC8,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM18,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC12,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC6,0,0,0,0,0,0,0,0,0,0,0,0
ZNF175,135,139,32,340,171,275,237,303,297,25,390,539
LINC01530,37,34,34,22,35,35,3,19,4,8,16,54
SIGLEC5,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC14,0,0,0,0,0,0,0,0,0,0,0,0
SPACA6P-AS,26,38,32,4,7,36,21,43,25,56,44,82
MIR99B,1,0,0,0,0,1,0,0,2,6,1,0
MIRLET7E,1,0,0,0,0,0,4,3,6,1,0,0
MIR125A,0,0,0,0,0,0,0,1,0,0,0,0
SPACA6P,63,84,41,64,16,5,11,107,12,125,52,178
HAS1,1,6,8,0,5,2,2,5,4,2,5,6
FPR1,0,0,0,0,0,0,0,0,0,0,0,0
FPR2,0,0,0,0,0,0,0,0,0,0,0,0
FPR3,0,1,0,0,0,0,0,0,0,0,0,0
ZNF577,1390,245,223,79,557,404,629,0,293,1049,59,87
ZNF649-AS1,0,0,1,0,0,2,0,0,0,0,0,0
ZNF649,531,28,782,62,608,8,418,353,669,374,195,29
ZNF613,13,92,38,15,130,18,68,72,5,73,74,51
ZNF350-AS1,3,2,3,4,4,12,6,17,0,1,6,7
ZNF350,106,37,49,17,58,140,0,4,19,43,61,4
ZNF615,296,157,376,120,205,235,113,40,170,62,210,271
ZNF614,796,517,231,78,487,480,354,473,378,556,49,183
ZNF432,395,64,19,76,364,38,58,173,263,335,101,90
ZNF841,581,55,63,159,520,138,123,1,274,180,390,251
ZNF616,79,39,236,322,356,18,78,327,310,386,270,543
ZNF836,85,71,213,1,338,357,2,169,179,52,478,311
PPP2R1A,1709,189,2541,1938,88,1244,101,1963,1430,2862,2519,544
MIR6801,0,2,0,0,1,1,1,1,0,1,0,3
ZNF766,702,531,347,13,331,33,477,338,25,393,835,825
MIR643,0,0,4,5,0,0,4,0,0,0,3,3
ZNF480,658,529,469,292,86,283,163,21,134,169,150,339
ZNF610,120,26,325,209,149,223,268,618,103,143,196,11
ZNF880,882,186,932,791,856,929,1184,1557,1389,1048,2310,1683
ZNF528-AS1,5,4,2,98,45,10,1,0,0,3,1,4
ZNF528,752,316,190,598,371,292,150,48,433,1311,169,32
ZNF534,0,2,7,1,1,4,2,5,1,13,7,3
ZNF578,10,4,2,12,64,77,0,4,5,10,5,1
ZNF808,223,158,233,136,425,16,439,117,988,27,488,123
ZNF701,78,44,153,21,155,216,17,36,249,112,195,266
ZNF137P,13,8,16,16,5,3,18,55,15,57,63,42
ZNF83,2132,1875,1489,936,1767,1445,2059,567,1613,2311,2582,3478
ZNF611,37,77,229,188,112,196,147,192,126,190,373,50
ZNF600,8,11,26,3,4,8,13,2,57,46,42,36
ZNF28,323,160,83,158,299,234,43,95,139,112,423,102
ZNF468,66,44,57,45,128,24,38,31,83,202,189,43
ZNF320,590,431,268,459,570,226,305,454,85,560,671,687
ZNF888,88,89,30,5,54,51,42,40,59,73,31,115
ZNF321P,0,0,0,0,0,0,0,0,2,0,2,1
ZNF816-ZNF321P,0,0,0,0,0,0,0,0,0,0,0,0
ZNF816,99,83,133,11,2,14,69,128,164,128,50,2
ZNF702P,115,7,37,105,75,78,284,160,146,373,227,165
ERVV-1,0,0,0,0,0,0,0,0,0,0,0,0
ERVV-2,0,0,0,0,0,0,3,0,0,2,0,0
ZNF160,1169,880,1084,439,297,741,365,59,810,213,363,339
ZNF415,744,56,626,57,368,304,631,739,152,205,716,779
ZNF347,418,225,183,115,195,260,236,159,521,739,165,435
ZNF665,87,9,82,54,91,36,25,2,42,21,31,29
ZNF818P,45,37,15,26,6,9,36,25,43,0,42,57
ZNF677,200,166,12,184,187,47,0,19,6,7,2,5
VN1R2,1,0,0,0,0,0,0,0,0,0,0,0
VN1R4,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A27P,0,0,0,0,0,0,0,0,0,0,0,0
BIRC8,0,1,0,0,0,0,0,0,0,0,0,0
ZNF845,89,125,118,158,4,194,60,204,231,17,121,45
ZNF525,2,208,31,13,190,193,256,134,377,302,466,20
ZNF765,172,69,108,86,0,160,24,206,203,157,31,104
ZNF761,397,127,195,27,5,144,295,43,304,711,375,286
TPM3P9,307,332,265,36,35,179,238,186,5,419,120,97
ZNF813,153,14,98,78,22,24,13,132,81,7,17,233
ZNF331,528,322,341,482,122,854,17,554,838,362,447,260
LOC284379,0,0,0,0,0,0,0,0,0,0,0,0
DPRX,0,0,0,0,0,0,0,0,1,1,0,1
MIR512-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR512-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR1323,0,0,0,0,0,0,0,0,0,0,0,0
MIR498,0,0,0,0,0,0,0,0,0,0,0,0
MIR520E,0,0,0,0,0,0,0,0,0,0,0,0
MIR515-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR515-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR519E,0,0,0,0,0,0,0,0,0,0,0,0
MIR520F,0,0,0,0,0,0,0,0,0,0,0,0
MIR519C,0,0,0,0,0,0,0,0,0,0,0,0
MIR1283-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR520A,0,0,0,0,0,0,0,0,0,0,0,0
MIR526B,0,0,0,0,0,0,0,0,0,0,0,0
MIR519B,0,0,0,0,0,0,0,0,0,0,0,0
MIR525,0,0,0,0,0,0,0,0,0,0,0,0
MIR523,0,0,0,0,0,0,0,0,0,0,0,0
MIR518F,0,0,0,0,0,0,0,0,0,0,0,0
MIR520B,0,0,0,0,0,0,0,0,0,0,0,0
MIR518B,0,0,0,0,0,0,0,0,0,0,0,0
MIR526A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR520C,0,0,0,0,0,0,0,0,0,0,0,0
MIR518C,0,0,0,0,0,0,0,0,0,0,0,0
MIR524,0,0,0,0,0,0,0,0,0,0,0,0
MIR517A,0,0,0,0,0,0,0,0,0,0,0,0
MIR519D,0,0,0,0,0,0,0,0,0,0,0,0
MIR521-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR520D,0,0,0,0,0,0,0,0,0,0,0,0
MIR517B,0,0,0,0,0,0,0,0,0,0,0,0
MIR520G,0,0,0,0,0,0,0,0,0,0,0,0
MIR516B2,0,0,0,0,0,0,0,0,0,0,0,0
MIR526A2,0,0,0,0,0,0,0,0,0,0,0,0
MIR518E,0,0,0,0,0,0,0,0,0,0,0,0
MIR518A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR518D,0,0,0,0,0,0,0,0,0,0,0,0
MIR516B1,0,0,0,0,0,0,0,0,0,0,0,0
MIR518A2,0,0,0,0,0,0,0,0,0,0,0,0
MIR517C,0,0,0,0,0,0,0,0,0,0,0,0
MIR520H,0,0,0,0,0,0,0,0,0,0,0,0
MIR521-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR522,0,0,0,0,0,0,0,0,0,0,0,0
MIR519A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR527,0,0,0,0,0,0,0,0,0,0,0,0
MIR516A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR1283-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR516A2,0,0,0,0,0,0,0,0,0,0,0,0
MIR519A2,0,0,0,0,0,0,0,0,0,0,0,0
MIR371A,0,0,0,0,0,0,0,0,0,0,0,0
MIR371B,0,0,0,0,0,0,0,1,0,0,0,0
MIR372,0,0,0,0,0,0,0,0,0,0,0,0
MIR373,0,0,0,0,0,0,0,0,0,0,0,0
NLRP12,1,0,0,2,0,1,2,1,6,4,12,11
MYADM,264,344,192,219,227,86,147,130,389,433,113,60
PRKCG,40,0,190,41,82,72,69,18,116,175,257,101
CACNG7,957,135,724,495,354,514,96,399,373,97,129,981
CACNG8,1054,878,479,435,467,56,565,12,557,842,713,271
MIR935,0,0,0,0,0,0,0,0,0,0,0,0
CACNG6,5,11,10,8,7,1,12,0,23,11,1,12
VSTM1,1,1,0,0,0,0,0,0,0,0,0,0
TARM1,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR,0,0,1,1,1,2,2,1,5,3,2,5
NDUFA3,184,42,7,93,55,68,77,131,146,99,34,39
TFPT,10,28,78,30,75,18,4,54,46,12,18,100
PRPF31,259,187,295,8,1356,174,342,812,107,1201,820,1232
CNOT3,1207,237,331,626,92,863,179,173,1289,1270,178,623
LENG1,34,63,3,22,24,62,25,45,127,22,30,93
TMC4,7,0,3,0,2,7,0,4,7,3,2,1
MBOAT7,504,98,52,50,223,174,182,32,374,358,156,57
TSEN34,264,117,220,0,182,144,40,43,33,1,111,223
RPS9,1652,954,1125,371,60,1204,228,1084,799,407,580,1276
LILRB3,1,0,0,0,0,0,0,0,3,0,0,0
LILRA6,1,0,0,0,1,0,0,0,0,1,0,0
LILRB5,0,0,0,0,0,0,0,0,0,0,0,0
LILRB2,0,0,0,0,0,0,0,0,0,1,0,2
MIR4752,0,0,0,0,0,0,0,0,0,0,0,0
LILRA5,0,0,0,0,0,0,0,0,0,0,0,0
LILRA4,0,1,0,0,0,0,0,0,0,0,0,0
LAIR1,0,7,0,2,0,0,1,0,1,0,0,0
TTYH1,4314,3943,4527,2412,1697,1924,3656,57,3286,1990,2480,2954
LENG8-AS1,342,290,237,0,299,149,48,406,473,98,273,420
LENG8,827,3131,1800,1364,3717,2222,3729,5015,5311,2890,556,4038
LENG9,87,3,73,41,42,44,23,2,12,58,7,130
CDC42EP5,37,20,0,22,19,15,0,9,19,1,13,0
LAIR2,0,0,0,0,0,0,0,0,0,0,0,0
KIR3DX1,0,0,0,0,0,0,0,0,0,0,0,0
LILRA2,0,0,0,0,0,0,3,0,0,0,0,0
LILRA1,0,0,0,0,0,0,0,0,0,0,0,0
LILRB1,0,0,0,0,0,0,0,0,0,0,0,0
MIR8061,0,0,0,0,0,0,0,0,0,0,0,0
LILRB4,0,0,0,0,0,0,0,0,0,0,0,0
LILRP2,0,0,0,0,0,0,0,0,0,0,0,0
KIR3DL3,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DL1,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DS5,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DS3,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DS4,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DL3,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DS2,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DL2,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928804,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DS1,0,0,0,0,0,0,0,0,0,0,0,0
KIR2DL4,0,0,0,0,0,0,0,0,0,0,0,0
KIR3DL1,0,0,0,0,0,0,0,0,0,0,0,0
KIR3DS1,0,0,0,0,0,0,0,0,0,0,0,0
KIR3DL2,0,0,0,0,0,0,0,0,0,0,0,0
FCAR,0,0,0,0,0,0,0,0,0,0,0,0
NCR1,0,0,0,0,0,0,0,0,0,0,0,0
NLRP7,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2,37,30,190,2,1,1,70,316,259,186,79,351
GP6,35,14,0,15,17,4,3,3,12,5,21,13
RDH13,333,283,272,179,135,218,19,272,143,298,2,228
EPS8L1,29,22,43,8,7,32,12,7,31,136,95,72
PPP1R12C,1004,212,799,386,773,162,543,312,90,526,823,434
MIR7975,0,0,0,0,0,0,0,1,0,0,0,0
TNNT1,21,1,28,13,2,1,2,1,14,2,9,8
TNNI3,41,35,38,44,21,28,8,59,8,36,18,49
DNAAF3,62,26,23,13,71,78,17,36,13,6,22,24
SYT5,506,747,102,196,15,548,418,304,508,1157,813,521
PTPRH,35,43,64,41,23,3,9,14,86,19,116,84
TMEM86B,40,18,15,25,58,26,67,36,22,33,4,124
PPP6R1,672,1590,148,623,278,519,290,1819,1213,900,1766,948
MIR6804,0,0,1,0,1,0,0,0,1,0,1,0
MIR6802,0,0,0,0,0,0,0,0,0,0,0,0
MIR6803,0,0,0,0,0,0,0,0,0,0,0,0
HSPBP1,245,253,209,241,117,76,222,302,96,320,226,241
BRSK1,473,354,995,1272,484,1062,1693,2018,1475,338,1608,586
TMEM150B,0,0,2,0,0,2,0,1,0,0,0,0
SUV420H2,37,115,81,97,103,11,112,84,3,196,55,307
COX6B2,20,5,23,4,9,3,10,3,22,14,10,2
FAM71E2,75,62,41,11,18,12,0,14,14,7,8,7
IL11,5,0,0,5,3,4,3,4,4,4,6,5
TMEM190,1,2,3,1,1,3,0,2,0,0,1,0
TMEM238,0,3,2,0,0,1,1,4,3,2,4,1
RPL28,389,41,1034,171,257,114,628,1269,904,310,82,172
MIR6805,0,0,0,0,0,0,0,0,0,0,0,0
UBE2S,312,506,151,114,139,203,96,506,157,156,292,606
SHISA7,339,202,304,58,222,140,95,11,127,127,197,137
ISOC2,494,286,12,248,85,293,70,109,208,164,344,38
ZNF628,56,59,5,60,10,96,73,69,105,46,83,50
NAT14,190,84,22,94,202,97,11,142,132,221,119,152
SSC5D,73,35,103,2,96,24,55,29,69,89,7,19
SBK2,0,0,0,0,0,0,0,0,0,0,0,0
SBK3,0,0,0,0,0,0,0,0,0,0,1,0
ZNF579,191,91,209,195,176,88,32,1,115,200,222,198
FIZ1,92,32,131,82,124,75,8,42,4,103,19,60
ZNF524,9,7,23,4,4,7,3,4,10,19,32,34
ZNF865,288,249,379,296,92,24,123,64,80,347,127,340
ZNF784,16,12,61,24,7,78,57,81,38,20,10,9
ZNF580,254,193,113,181,203,218,134,81,168,338,202,303
ZNF581,86,71,61,84,12,91,99,78,21,4,86,120
CCDC106,38,187,10,96,24,150,22,23,32,37,143,165
U2AF2,2910,1684,2198,1800,516,888,2168,2686,1625,2226,1786,1194
EPN1,1557,216,1223,686,102,363,709,1259,1749,230,30,134
NLRP9,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4A,0,0,0,0,0,0,0,0,0,0,1,0
RFPL4AL1,0,0,0,0,0,0,0,0,0,0,0,0
NLRP11,0,0,0,0,0,0,0,0,0,2,0,0
NLRP4,0,0,0,0,0,0,0,1,0,0,0,0
NLRP13,0,0,0,0,0,0,0,0,0,0,0,0
NLRP8,0,0,0,0,0,0,0,0,0,0,0,0
NLRP5,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928886,7,4,3,3,9,4,15,15,4,18,8,7
ZNF787,16,1,38,77,141,128,79,102,84,278,215,160
ZNF444,83,107,228,17,83,186,7,77,38,50,241,259
GALP,0,0,0,0,0,1,0,0,0,0,0,1
ZSCAN5B,4,1,1,0,0,0,0,1,0,1,0,0
ZSCAN5A,46,36,6,10,46,2,22,6,6,4,29,25
ZNF542P,52,67,329,122,357,93,107,11,86,32,193,37
ZNF582,92,44,9,33,89,26,34,32,3,59,56,16
ZNF582-AS1,31,70,5,32,19,3,22,27,33,21,7,55
ZNF583,439,345,198,188,370,74,307,139,29,17,129,183
ZNF667,196,187,374,363,416,303,11,3,3,2,14,9
ZNF667-AS1,525,248,163,102,442,368,0,2,17,28,21,9
ZNF471,616,776,207,657,700,632,41,32,42,52,55,8
ZFP28,398,673,318,3,34,28,20,109,3,17,75,116
ZNF470,555,231,296,47,454,513,360,261,256,100,98,485
ZNF71,375,427,537,179,352,725,247,495,388,31,374,750
SMIM17,27,26,28,17,19,107,22,3,16,49,88,51
ZNF835,19,21,7,8,29,69,0,1,0,0,0,0
ZIM2-AS1,4,1,1,0,22,6,5,8,3,4,12,3
ZIM2,0,0,0,12,3,13,0,0,0,0,0,0
PEG3,7,21,11,5077,10209,10419,0,5,5,17,3,10
PEG3-AS1,0,0,0,5,15,17,0,0,0,0,0,0
MIMT1,0,0,0,12,32,34,0,0,0,0,0,0
USP29,0,0,0,0,0,0,0,0,0,0,0,0
ZIM3,0,0,0,0,0,0,0,0,0,0,0,0
DUXA,0,0,0,0,0,0,0,0,0,0,0,0
ZNF264,717,691,356,975,696,893,245,322,448,1003,404,550
AURKC,13,6,9,10,2,19,7,20,33,56,5,30
ZNF805,182,592,498,278,719,1055,833,190,2100,657,470,655
ZNF460,2563,402,1385,1426,971,2516,734,3691,1867,3637,1163,2620
ZNF543,414,672,84,585,264,475,172,538,834,164,18,908
ZNF304,468,43,85,437,106,89,206,296,187,58,435,365
ZNF547,5,39,25,24,19,52,30,15,118,178,80,90
TRAPPC2B,10,12,50,1,2,26,43,19,46,51,47,63
ZNF548,352,453,79,66,180,338,334,96,586,488,540,347
ZNF17,325,270,61,255,105,9,111,242,459,129,175,137
ZNF749,123,12,132,44,74,56,89,220,284,242,296,23
VN1R1,97,46,0,78,28,24,29,51,16,31,17,32
ZNF772,223,547,693,374,320,248,39,318,75,252,135,97
ZNF419,211,70,119,88,66,122,107,231,59,107,142,30
ZNF773,141,65,46,88,12,24,95,58,177,101,83,113
ZNF549,517,487,413,153,409,512,518,83,70,296,485,90
ZNF550,187,123,154,156,250,252,176,421,509,292,159,403
ZNF416,266,76,10,53,66,101,74,95,40,45,126,228
