,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
ZP4,0,0,0,0,0,0,0,0,0,0,0,0
LINC01139,4,0,0,9,9,8,5,2,3,7,8,25
CHRM3,66,125,20,78,55,169,41,11,295,338,64,27
CHRM3-AS2,0,0,0,0,0,0,0,0,0,0,0,0
CHRM3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RPS7P5,0,0,0,0,0,0,0,1,1,0,0,0
FMN2,2665,824,946,1819,968,646,402,1013,1451,2160,472,348
GREM2,29,88,7,32,35,16,34,59,52,38,21,3
RGS7,103,34,141,185,102,193,110,33,230,245,317,110
MIR3123,0,0,0,0,0,0,0,0,0,0,0,0
FH,65,239,146,112,341,137,223,248,161,373,202,602
KMO,0,4,1,1,0,2,1,0,0,0,0,0
OPN3,184,71,86,21,127,145,37,9,107,12,55,69
CHML,1646,873,940,1672,474,1891,891,1724,1624,1289,1063,552
WDR64,2,1,1,2,0,1,0,0,0,0,0,0
EXO1,41,18,28,35,53,81,45,62,34,29,26,52
BECN2,0,0,0,0,0,0,0,0,0,0,0,0
MAP1LC3C,4,0,1,1,0,3,0,1,0,2,2,0
PLD5,56,11,50,74,83,81,40,102,88,45,47,90
LINC01347,4,9,7,10,2,9,5,4,2,10,8,2
CEP170,936,2346,1002,2184,3862,6417,1279,5696,7580,9446,2317,107
SDCCAG8,95,1139,1372,1060,514,100,747,140,1142,622,1041,1233
MIR4677,8,4,1,0,5,3,3,9,10,0,4,2
AKT3,5245,1328,5783,2635,5553,2244,3323,1054,4112,6776,1918,4628
LOC339529,2,1,3,1,20,8,0,13,1,3,1,2
ZBTB18,1551,531,924,334,44,346,565,109,955,846,101,645
C1orf100,0,0,0,0,0,0,0,0,0,0,0,0
ADSS,624,184,392,287,373,113,318,401,112,509,648,210
C1orf101,15,8,15,17,20,12,12,1,2,18,10,14
DESI2,407,345,566,616,106,356,369,397,72,402,91,59
COX20,672,5,501,299,162,38,31,575,81,107,775,594
HNRNPU-AS1,804,976,208,405,578,355,409,1056,834,1106,65,64
HNRNPU,4987,3099,4089,501,1047,4577,3372,9172,8721,251,1086,4764
LOC101928068,13,14,8,13,0,30,40,20,41,28,28,10
EFCAB2,127,2,11,239,250,321,386,81,430,370,60,118
KIF26B,684,373,149,511,612,1351,26,1819,1591,1841,1717,1365
SMYD3,149,274,128,199,175,20,71,163,13,306,4,199
LOC255654,0,0,0,0,0,0,3,0,1,0,1,0
TFB2M,29,4,84,62,48,61,50,29,209,211,99,44
CNST,134,465,152,194,47,542,161,174,478,139,374,665
SCCPDH,171,431,473,34,474,556,490,396,263,369,337,413
LINC01341,10,19,0,7,20,17,6,50,25,34,26,54
AHCTF1,512,1867,1304,70,269,1665,469,2586,1000,2208,1347,1085
ZNF695,31,5,4,3,14,8,21,24,7,10,51,4
ZNF670-ZNF695,0,2,0,0,0,0,1,1,0,1,2,1
ZNF670,159,109,122,45,4,46,77,99,22,120,75,97
ZNF669,161,176,97,130,294,184,81,77,129,405,136,107
C1orf229,23,9,1,10,4,15,10,22,10,6,1,1
ZNF124,230,296,123,66,426,605,160,398,306,155,419,887
MIR3916,15,3,18,4,1,10,3,11,16,0,1,19
VN1R5,0,0,0,0,0,0,0,0,0,0,0,0
ZNF496,48,1,241,507,491,114,54,737,421,76,310,558
NLRP3,2,11,3,3,4,7,4,2,24,1,12,5
OR2B11,0,0,0,0,0,0,0,0,0,0,0,0
OR2W5,0,0,0,0,0,0,0,0,0,0,0,0
GCSAML,0,0,0,0,0,0,2,0,0,0,0,0
GCSAML-AS1,0,0,0,0,0,0,0,0,0,0,0,0
OR2C3,0,0,0,0,0,0,0,0,0,0,0,0
OR2G2,0,0,0,0,0,0,0,0,0,0,0,0
OR2G3,0,0,0,0,0,0,0,0,0,0,0,0
OR13G1,0,0,0,0,0,0,0,0,1,0,0,0
OR6F1,0,0,0,0,0,0,0,0,0,0,0,0
OR1C1,0,0,0,0,0,0,0,0,0,0,0,0
OR14A16,0,0,0,0,0,0,0,0,0,0,0,0
OR11L1,0,0,0,0,0,0,0,0,0,0,0,0
TRIM58,46,114,29,131,31,115,56,54,102,63,76,59
OR2W3,0,0,2,1,3,0,1,0,4,6,0,1
OR2T8,0,1,0,0,0,0,0,0,0,0,1,0
OR2L13,8,4,7,0,6,6,1,2,2,2,2,2
OR2L8,5,13,6,1,5,1,0,6,0,8,1,3
OR2AK2,0,4,4,3,0,0,0,3,0,3,0,1
OR2L1P,5,2,1,0,3,0,2,0,0,0,0,2
OR2L5,4,2,0,5,1,1,0,0,1,0,3,2
OR2L2,0,2,1,0,5,0,0,0,3,1,1,0
OR2L3,0,1,1,0,3,0,0,0,2,0,0,0
OR2M1P,0,0,0,0,0,0,0,0,0,0,0,1
OR2M5,0,0,3,0,0,0,0,0,0,0,0,0
OR2M2,0,0,0,0,0,0,0,0,3,0,0,0
OR2M3,0,0,1,0,2,0,0,0,0,1,0,0
OR2M4,0,0,0,0,3,0,1,0,0,0,0,0
OR2T33,1,2,0,1,0,0,0,0,0,0,0,3
OR2T12,0,0,0,0,0,0,0,0,0,0,0,0
OR2M7,0,0,0,0,0,0,0,0,0,0,0,0
OR14C36,0,0,0,0,0,0,0,0,0,0,0,0
OR2T4,0,0,0,0,0,0,0,0,0,0,0,0
OR2T6,0,0,0,0,0,0,0,0,0,0,0,0
OR2T1,0,0,0,0,0,0,0,0,0,0,0,0
OR2T2,0,0,0,0,0,0,0,0,0,0,0,0
OR2T3,0,0,0,0,0,0,0,0,0,0,0,0
OR2T5,0,0,0,0,0,0,0,0,0,0,0,0
OR2G6,0,0,0,0,0,0,0,0,0,0,0,0
OR2T29,0,0,0,0,0,0,0,0,0,0,0,0
OR2T34,0,0,0,0,0,0,0,0,0,0,0,0
OR2T10,0,0,0,0,0,0,0,0,0,0,0,0
OR2T11,0,0,0,0,0,0,0,0,0,0,0,0
OR2T35,0,0,0,0,0,0,0,0,0,0,0,0
OR2T27,0,0,0,0,0,0,0,0,0,0,0,0
OR14I1,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928226,0,0,0,0,0,0,0,0,0,0,0,0
LYPD8,0,0,0,3,0,0,0,0,0,0,0,0
SH3BP5L,780,1,413,30,449,563,411,684,523,364,223,953
MIR3124,1,3,0,0,0,0,0,0,0,0,0,1
ZNF672,632,44,217,395,359,59,120,377,210,31,283,419
ZNF692,56,578,264,206,728,258,419,216,151,965,153,361
PGBD2,120,170,49,6,155,119,169,190,110,189,12,6
LOC102723376,0,0,0,0,0,0,0,0,0,0,0,0
TUBB8,0,2,0,1,0,0,1,5,0,1,0,3
ZMYND11,2315,476,245,2154,735,2738,798,2741,593,748,1970,1083
DIP2C,4547,2753,1930,2728,2013,681,3151,2600,631,3948,1140,5462
MIR5699,0,1,1,3,1,2,0,4,1,7,6,0
PRR26,4,1,1,1,0,5,0,5,8,3,7,4
LARP4B,1736,320,1670,275,74,577,367,144,977,1849,1203,2259
LOC101927762,19,5,7,9,2,7,2,20,55,11,16,1
GTPBP4,505,911,738,108,580,695,484,35,165,1472,1138,460
IDI2,1,0,0,0,1,4,1,2,0,0,2,9
IDI2-AS1,2,11,9,4,1,10,8,18,9,23,9,3
IDI1,1307,1502,625,1395,855,919,740,1535,2968,1111,394,1681
WDR37,292,389,74,292,51,88,576,306,1449,979,329,1226
LINC00200,0,0,0,0,0,0,0,2,0,0,0,0
ADARB2,11,230,198,104,40,177,101,158,224,254,157,335
ADARB2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00700,0,0,0,0,0,0,0,0,0,0,0,0
MIR6072,0,0,0,0,0,0,0,0,0,0,0,0
LINC00701,0,0,0,0,0,0,0,0,0,0,0,0
PFKP,1810,981,483,790,1652,1081,1160,687,1130,1374,1163,3512
PITRM1,347,716,180,771,353,645,111,1693,82,1913,1620,2008
PITRM1-AS1,11,11,1,6,10,3,13,4,27,27,22,20
LOC105376360,0,0,0,0,0,0,0,1,0,0,0,2
KLF6,42,86,826,364,62,49,710,1242,1665,1649,1373,1994
MIR6078,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927964,0,0,0,0,0,0,0,0,0,0,0,0
LINC00702,0,0,0,0,0,0,0,0,0,0,0,0
LINC00703,3,0,0,2,1,1,0,4,1,0,2,2
LINC00704,0,0,0,0,0,0,0,1,0,0,0,0
LINC00705,0,0,0,0,0,0,0,0,0,0,0,0
AKR1E2,168,159,138,82,58,96,26,38,67,200,171,117
AKR1C6P,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C1,166,208,206,236,252,11,160,269,143,306,344,37
AKR1C2,529,305,13,39,253,181,268,59,70,226,130,306
AKR1C3,18,2,14,2,4,5,0,1,1,0,7,5
AKR1C8P,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C4,0,0,0,0,0,0,0,0,0,0,0,0
UCN3,0,0,0,0,0,0,0,0,0,0,0,0
TUBAL3,0,0,0,0,0,1,0,0,1,0,0,1
NET1,26,310,257,315,114,296,302,680,19,449,607,477
CALML5,0,0,0,0,0,0,0,0,0,0,0,0
CALML3-AS1,0,0,0,0,1,0,0,0,0,2,2,1
CALML3,0,0,0,0,0,0,0,0,0,0,0,0
ASB13,219,68,6,88,79,57,102,123,136,89,49,183
FAM208B,2401,2106,564,259,706,570,87,1274,380,2560,1087,2373
GDI2,2194,1834,1134,4697,1416,3063,4316,3231,3346,7128,3722,4024
ANKRD16,7,82,49,156,10,255,155,325,116,222,61,348
FBXO18,1057,738,742,176,742,347,522,116,1022,778,574,9
IL15RA,1,0,0,0,0,1,0,0,0,0,0,0
IL2RA,0,0,0,0,0,0,0,0,0,0,0,0
RBM17,1043,394,610,1005,818,584,1283,1766,428,214,878,1285
PFKFB3,1311,187,81,718,1503,591,613,770,2519,2146,2096,2294
MIR3155A,0,0,2,0,0,0,0,0,0,0,0,0
MIR3155B,0,0,0,0,0,0,0,0,0,0,0,0
LOC399715,64,14,36,31,56,21,1,4,28,71,32,78
PRKCQ,21,84,84,22,85,23,89,137,19,93,89,15
PRKCQ-AS1,0,20,17,7,7,31,1,39,21,15,38,17
LOC101928150,0,0,0,0,1,0,0,3,1,2,1,1
LINC00706,0,0,0,0,0,0,0,0,0,0,0,3
LINC00707,0,0,0,0,0,0,0,0,0,0,0,0
SFMBT2,918,176,834,199,931,1026,335,347,668,111,577,229
ITIH5,37,150,4,41,318,261,19,112,40,13,46,30
ITIH2,11,19,13,1090,1067,32,4,0,1,0,0,2
KIN,129,198,393,116,255,360,68,252,332,29,525,492
ATP5C1,1822,714,219,503,486,878,100,1259,129,1667,862,1303
TAF3,943,199,294,272,465,815,300,200,134,814,351,331
GATA3-AS1,2,3,5,3,1,4,0,6,0,0,0,3
GATA3,28,4,14,23,32,8,16,23,5,18,12,8
LINC00708,0,0,0,0,0,0,0,0,0,0,0,0
LOC105755953,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928272,0,0,0,0,0,0,0,0,0,0,0,0
LINC00709,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928298,0,0,1,0,0,0,0,0,0,0,0,0
LOC101928322,0,0,0,0,0,0,0,0,0,0,0,0
SFTA1P,0,0,0,0,0,0,0,0,0,0,0,0
LINC00710,0,0,0,0,0,0,0,0,0,0,0,0
CELF2,233,275,654,466,564,892,1771,2368,709,2485,2092,1250
CELF2-AS2,1,3,3,8,1,1,0,2,3,6,1,2
CELF2-AS1,3,0,0,0,1,2,0,1,1,0,0,0
USP6NL,256,176,187,21,463,224,173,97,388,50,345,189
ECHDC3,2,1,4,1,8,1,3,13,1,8,6,7
PROSER2,38,36,21,9,4,2,0,19,1,11,17,16
PROSER2-AS1,0,1,1,0,0,0,0,4,3,6,3,8
UPF2,1959,1095,657,346,896,755,918,663,2512,2565,34,1257
DHTKD1,1024,565,746,658,454,444,10,810,342,1022,560,304
SEC61A2,772,254,399,292,559,126,250,391,735,145,794,930
MIR548AK,0,0,0,0,0,0,0,0,0,0,0,0
NUDT5,480,223,360,91,62,241,222,114,205,297,254,370
CDC123,675,59,318,114,167,684,71,582,584,636,616,770
CAMK1D,507,550,715,99,309,493,260,880,37,593,121,1214
MIR4480,1,0,0,0,0,0,2,0,1,3,2,1
MIR4481,0,0,0,0,0,0,0,0,0,0,0,0
MIR548Q,0,0,0,0,0,0,0,0,0,0,0,0
CCDC3,77,15,3,107,48,40,121,97,311,70,46,26
OPTN,1088,365,1296,386,624,244,1029,601,1070,1094,1222,46
MCM10,72,89,49,51,32,122,15,81,57,105,93,5
UCMA,0,2,3,0,0,0,0,0,2,3,0,0
PHYH,487,10,106,182,250,128,73,191,128,89,97,174
